size,nthreads,run_id,time
64,64,4,0.008092
64,64,5,0.00809
64,64,6,0.008091
64,64,7,0.008012
64,64,8,0.008137
64,64,9,0.008038
64,64,10,0.008072
128,64,1,0.019406
128,64,2,0.019282
128,64,3,0.019519
128,64,4,0.019336
128,64,5,0.01975
128,64,6,0.019534
128,64,7,0.019685
128,64,8,0.019623
128,64,9,0.019871
128,64,10,0.01965
256,64,1,0.055537
256,64,2,0.055439
256,64,3,0.055813
256,64,4,0.055284
256,64,5,0.064482
256,64,6,0.058796
256,64,7,0.055302
256,64,8,0.055349
256,64,9,0.055377
256,64,10,0.055122
512,64,1,0.202386
512,64,2,0.202412
512,64,3,0.203242
512,64,4,0.201847
512,64,5,0.202888
512,64,6,0.200394
512,64,7,0.202989
512,64,8,0.244787
512,64,9,0.209811
512,64,10,0.200917
1024,64,1,0.788424
1024,64,2,0.831827
1024,64,3,0.842225
1024,64,4,0.836163
1024,64,5,0.781178
1024,64,6,0.789779
1024,64,7,0.794982
1024,64,8,0.828676
1024,64,9,0.814606
1024,64,10,0.781122
2048,64,1,2.663529
2048,64,2,2.708914
2048,64,3,2.658979
2048,64,4,2.667394
2048,64,5,2.667548
2048,64,6,2.662877
2048,64,7,2.976074
2048,64,8,2.638842
2048,64,9,2.684003
2048,64,10,2.620992
4096,64,1,22.493776
4096,64,2,19.069815
4096,64,3,19.817577
4096,64,4,19.123263
4096,64,5,21.966833
4096,64,6,20.458475
4096,64,7,19.859522
4096,64,8,20.015866
4096,64,9,19.327734
4096,64,10,19.747336
8192,64,1,215.759236
8192,64,2,217.388761
8192,64,3,213.604005
8192,64,4,210.271479
8192,64,5,213.071675
8192,64,6,212.140174
8192,64,7,204.677934
8192,64,8,204.353786
8192,64,9,202.520832
8192,64,10,211.284963
32,8,1,0.001307
32,8,2,0.001047
32,8,3,0.001037
32,8,4,0.001052
32,8,5,0.001038
32,8,6,0.001033
32,8,7,0.001078
32,8,8,0.001105
32,8,9,0.001045
32,8,10,0.00108
64,8,1,0.00295
64,8,2,0.002994
64,8,3,0.002991
64,8,4,0.002993
64,8,5,0.00301
64,8,6,0.002993
64,8,7,0.00302
64,8,8,0.003062
64,8,9,0.003013
64,8,10,0.003025
128,8,1,0.009509
128,8,2,0.009732
128,8,3,0.009727
128,8,4,0.009686
128,8,5,0.009944
128,8,6,0.009968
128,8,7,0.009943
128,8,8,0.009762
128,8,9,0.009967
128,8,10,0.00986
256,8,1,0.046628
256,8,2,0.046471
256,8,3,0.046203
256,8,4,0.04631
256,8,5,0.046084
256,8,6,0.046144
256,8,7,0.046343
256,8,8,0.046488
256,8,9,0.046123
256,8,10,0.046129
512,8,1,0.272754
512,8,2,0.265873
512,8,3,0.264336
512,8,4,0.263055
512,8,5,0.262705
512,8,6,0.263699
512,8,7,0.268027
512,8,8,0.268281
512,8,9,0.270784
512,8,10,0.26411
1024,8,1,1.511861
1024,8,2,1.493283
1024,8,3,1.522254
1024,8,4,1.530272
1024,8,5,1.484192
1024,8,6,1.477618
1024,8,7,1.495323
1024,8,8,1.488304
1024,8,9,1.472014
1024,8,10,1.502735
2048,8,1,11.029138
2048,8,2,11.004758
2048,8,3,11.00527
2048,8,4,10.932375
2048,8,5,10.960176
2048,8,6,10.954724
2048,8,7,10.987672
2048,8,8,10.99911
2048,8,9,10.935082
2048,8,10,10.954482
4096,8,1,87.553049
32,4,1,0.132724
32,4,2,0.627624
32,4,3,0.128478
32,4,4,0.334707
32,4,5,1.988052
32,4,6,0.007207
32,4,7,0.000938
32,4,8,0.000952
32,4,9,0.00103
32,4,10,0.000835
64,4,1,0.002485
64,4,2,0.002463
64,4,3,0.002472
64,4,4,0.002462
64,4,5,0.002637
64,4,6,0.002573
64,4,7,0.002545
64,4,8,0.002598
64,4,9,0.002605
64,4,10,0.002575
128,4,1,0.019497
128,4,2,0.024467
128,4,3,0.023194
128,4,4,0.024481
128,4,5,0.024878
128,4,6,0.023951
128,4,7,0.024205
128,4,8,0.034636
128,4,9,0.010172
128,4,10,0.024024
256,4,1,0.067536
256,4,2,0.059945
256,4,3,0.060042
256,4,4,0.061403
256,4,5,0.059626
256,4,6,0.061095
256,4,7,0.06055
256,4,8,0.060142
256,4,9,0.059268
256,4,10,0.059842
512,4,1,0.635367
512,4,2,3.754161
512,4,3,1.864684
512,4,4,0.703283
512,4,5,0.930619
512,4,6,2.020863
512,4,7,1.051461
512,4,8,2.037776
512,4,9,1.297025
512,4,10,1.013157
1024,4,1,6.695445
1024,4,2,2.471082
1024,4,3,2.430634
1024,4,4,2.429961
1024,4,5,2.430308
4096,8,2,88.4176
1024,4,6,2.424971
1024,4,7,2.423868
1024,4,8,2.446588
1024,4,9,2.429358
1024,4,10,2.427468
2048,4,1,19.720968
2048,4,2,19.685372
2048,4,3,19.493491
4096,8,3,87.932911
2048,4,4,19.454515
2048,4,5,19.514097
2048,4,6,19.490392
2048,4,7,21.254084
2048,4,8,21.654738
4096,8,4,88.030012
2048,4,9,19.476904
2048,4,10,19.495218
4096,8,5,87.452182
4096,8,6,88.227256
4096,4,1,161.035848
4096,8,7,87.754819
4096,8,8,87.672114
4096,4,2,163.455975
4096,8,9,87.419027
4096,8,10,87.580057
4096,4,3,164.526471
4096,4,4,175.325961
4096,4,5,162.1011
4096,4,6,169.810968
4096,4,7,157.684324
8192,8,1,716.103052
4096,4,8,157.46061
4096,4,9,164.854713
4096,4,10,160.154632
8192,8,2,736.886118
8192,8,3,774.802003
8192,4,1,1345.669421
8192,8,4,773.807834
8192,8,5,776.374294
8192,4,2,1641.904706
8192,8,6,773.46702
8192,8,7,781.446346
8192,4,3,1519.874929
8192,8,8,771.750663
8192,8,9,773.038991
8192,4,4,1485.608789
8192,8,10,770.384009
8192,4,5,1587.362985
8192,4,6,2961.738374
8192,4,7,2413.638769
8192,4,8,3025.861056
8192,4,9,2670.927268
32,64,1,0.00581
32,64,2,0.003969
32,64,3,0.003978
32,64,4,0.004009
32,64,5,0.004003
32,64,6,0.004051
32,64,7,0.004059
32,64,8,0.00401
32,64,9,0.004015
32,64,10,0.003959
64,64,1,0.0086
64,64,2,0.008551
64,64,3,0.008532
64,64,4,0.008534
64,64,5,0.00849
64,64,6,0.008493
64,64,7,0.008522
64,64,8,0.008462
64,64,9,0.008447
64,64,10,0.008511
128,64,1,0.019714
128,64,2,0.019684
128,64,3,0.019652
128,64,4,0.019868
128,64,5,0.019673
128,64,6,0.019652
128,64,7,0.019801
128,64,8,0.019825
128,64,9,0.01976
128,64,10,0.019941
256,64,1,0.054272
256,64,2,0.05479
256,64,3,0.054983
256,64,4,0.055042
256,64,5,0.05502
256,64,6,0.054942
256,64,7,0.055419
256,64,8,0.054407
256,64,9,0.054622
256,64,10,0.054641
512,64,1,0.192745
512,64,2,0.194525
512,64,3,0.194621
512,64,4,0.194981
512,64,5,0.194552
512,64,6,0.19559
512,64,7,0.193701
512,64,8,0.194307
512,64,9,0.194984
512,64,10,0.194388
1024,64,1,0.785974
1024,64,2,0.784997
1024,64,3,0.776708
1024,64,4,0.800856
1024,64,5,0.779525
1024,64,6,0.774382
1024,64,7,0.811989
1024,64,8,0.790384
1024,64,9,0.768475
1024,64,10,0.796379
2048,64,1,2.637747
2048,64,2,2.574789
2048,64,3,2.57618
2048,64,4,2.585341
2048,64,5,2.581687
2048,64,6,2.561417
2048,64,7,2.564711
2048,64,8,2.583513
2048,64,9,2.561205
2048,64,10,2.548699
4096,64,1,19.130854
4096,64,2,18.87789
4096,64,3,18.765528
4096,64,4,18.252347
4096,64,5,18.531822
4096,64,6,17.939348
4096,64,7,18.48128
4096,64,8,18.577129
4096,64,9,17.9603
4096,64,10,18.234333
8192,64,1,213.968393
8192,64,2,207.433353
8192,64,3,207.3722
8192,64,4,209.416078
32,16,1,0.002843
32,16,2,0.002071
32,16,3,0.001949
32,16,4,0.001814
32,16,5,0.001688
32,16,6,0.001687
32,16,7,0.001599
32,16,8,0.001446
32,16,9,0.001442
32,16,10,0.00141
64,16,1,0.003716
64,16,2,0.003764
64,16,3,0.003717
64,16,4,0.003762
64,16,5,0.003772
64,16,6,0.003713
64,16,7,0.003744
64,16,8,0.003727
64,16,9,0.003776
64,16,10,0.003777
128,16,1,0.011494
128,16,2,0.011146
128,16,3,0.011262
128,16,4,0.011054
128,16,5,0.01113
128,16,6,0.011458
128,16,7,0.011376
128,16,8,0.011381
128,16,9,0.011441
128,16,10,0.011386
256,16,1,0.044448
256,16,2,0.042113
256,16,3,0.041938
256,16,4,0.041898
256,16,5,0.042006
256,16,6,0.041656
256,16,7,0.041929
256,16,8,0.042076
256,16,9,0.042136
256,16,10,0.050105
512,16,1,0.194405
512,16,2,0.202779
512,16,3,0.198139
512,16,4,0.195787
512,16,5,0.196254
512,16,6,0.198485
512,16,7,0.195448
512,16,8,0.195583
512,16,9,0.19933
512,16,10,0.198027
1024,16,1,0.902814
1024,16,2,0.907793
1024,16,3,0.928663
1024,16,4,0.909186
1024,16,5,0.904057
1024,16,6,0.924656
1024,16,7,0.905045
1024,16,8,0.926373
1024,16,9,0.906044
1024,16,10,0.925961
2048,16,1,5.231953
2048,16,2,5.281464
2048,16,3,5.279834
2048,16,4,5.262872
2048,16,5,5.282852
2048,16,6,5.231608
2048,16,7,5.262634
2048,16,8,5.279468
2048,16,9,5.238664
2048,16,10,5.254343
4096,16,1,41.212545
4096,16,2,41.504241
4096,16,3,40.708107
32,2,1,0.065963
32,2,2,0.000469
32,2,3,0.000447
32,2,4,0.00046
32,2,5,0.000464
32,2,6,0.000457
32,2,7,0.000457
32,2,8,0.000446
32,2,9,0.000462
32,2,10,0.000452
64,2,1,0.196175
64,2,2,0.186173
64,2,3,0.06907
64,2,4,0.039107
64,2,5,0.0442
64,2,6,0.067165
64,2,7,0.002
64,2,8,0.036433
64,2,9,0.282
64,2,10,0.135156
128,2,1,0.026033
128,2,2,0.024037
128,2,3,0.022591
128,2,4,0.02385
128,2,5,0.023195
128,2,6,0.023972
128,2,7,0.024794
128,2,8,0.024236
128,2,9,0.025321
128,2,10,0.023645
256,2,1,0.14649
256,2,2,0.114209
256,2,3,0.112788
256,2,4,0.111171
256,2,5,0.112068
256,2,6,0.112096
256,2,7,0.111993
256,2,8,0.111426
256,2,9,0.112271
256,2,10,0.112455
512,2,1,0.737303
512,2,2,0.722888
512,2,3,0.723443
512,2,4,0.725729
512,2,5,0.730881
512,2,6,0.720596
512,2,7,0.720223
512,2,8,0.733188
512,2,9,0.72385
512,2,10,0.716749
1024,2,1,5.714772
4096,16,4,41.044659
1024,2,2,5.743082
1024,2,3,5.691085
1024,2,4,5.719821
1024,2,5,5.767282
1024,2,6,5.702076
1024,2,7,5.708142
1024,2,8,5.690385
4096,16,5,41.177974
1024,2,9,5.689327
1024,2,10,5.705263
4096,16,6,41.479688
2048,2,1,46.481167
4096,16,7,41.495007
2048,2,2,46.969429
4096,16,8,41.412501
2048,2,3,46.659911
4096,16,9,40.776149
2048,2,4,46.670647
4096,16,10,41.33302
2048,2,5,47.332857
2048,2,6,47.012853
2048,2,7,46.708131
2048,2,8,47.07378
2048,2,9,47.0652
2048,2,10,46.68012
8192,16,1,336.146794
4096,2,1,374.973363
8192,16,2,336.053017
8192,16,3,330.135736
4096,2,2,374.700995
8192,16,4,331.007741
4096,2,3,373.413793
8192,16,5,330.790969
4096,2,4,371.524736
8192,16,6,332.146802
4096,2,5,386.773889
8192,16,7,331.672941
4096,2,6,388.232656
8192,16,8,335.759965
4096,2,7,380.611689
8192,16,9,335.841054
4096,2,8,374.915987
8192,16,10,337.573934
4096,2,9,374.208997
4096,2,10,373.062088
8192,2,1,3014.315678
8192,2,2,2966.47241
